country,s1,s2,s3,s4,s5,s6,s7,SN,A,PBC,O,SN_1,SN_2,SN_3,SN_4,SN_5,SN_6,SN_7,A_1,A_2,A_3,A_4,A_5,A_6,A_7,PBC_1,PBC_2,PBC_3,PBC_4,PBC_5,PBC_6,PBC_7,O_1,O_2,O_3,O_4,O_5,O_6,O_7,I2,I1,I4,I5,I6,I3,I7,firstDev,secondDev,startDate,endDate,Period
Australia,0.066017063,0.058148923,0.067553303,0.077668473,0.075866311,0.058027,0.103525684,0.218207404,0.112635032,0.216903253,0.227369943,0.200249047,0.219281712,0.198990251,0.219015034,0.240573453,0.197040415,0.192821614,0.11380068,0.113828046,0.12110199,0.11805792,0.122800792,0.105152017,0.131783655,0.214091776,0.206532004,0.21801964,0.213418598,0.21048683,0.21729872,0.188337762,0.257404465,0.227577869,0.203485508,0.23199813,0.267154694,0.201994374,0.260439413,0,0,1,0,1,0,1,0.230769231,-0.377777778,3/4/20,3/10/20,1
Australia,0.090391981,0.08300365,0.080917249,0.07811425,0.097056883,0.096808557,0.118261226,0.221487479,0.121773692,0.211248242,0.224933607,0.195407381,0.22927821,0.180030313,0.23775935,0.255322876,0.200509081,0.167405371,0.131047394,0.12850977,0.124782641,0.120421501,0.139252846,0.133998563,0.139075416,0.189280268,0.214528809,0.191416657,0.207833423,0.201123297,0.195406298,0.179444248,0.214660548,0.210970884,0.206679135,0.222925454,0.216117363,0.226915515,0.258270323,1,1,1,1,1,0,1,2.571428571,-0.375,3/11/20,3/17/20,2
Australia,0.094876745,0.084954627,0.077786946,0.069440717,0.104052507,0.087440207,0.121938458,0.235882624,0.123696224,0.217618555,0.237611975,0.193213266,0.204654937,0.267918834,0.298256462,0.238283216,0.174004493,0.215253001,0.13433637,0.128232585,0.121900654,0.109661712,0.138720324,0.123260723,0.146268982,0.196743931,0.184705689,0.251051441,0.213583667,0.220367442,0.206582922,0.14875863,0.275388866,0.197291373,0.223989998,0.253063398,0.227784352,0.213459456,0.223097036,1,1,1,1,1,0,1,2.120689655,1.175137845,3/18/20,3/24/20,3
Australia,0.097864459,0.090301772,0.085971173,0.079819406,0.105258598,0.097977325,0.116527368,0.242226682,0.127767989,0.235144223,0.243379736,0.224338261,0.22532477,0.215219468,0.270954726,0.229969799,0.240849335,0.247583891,0.135259623,0.132599943,0.126049221,0.120492564,0.138869799,0.132452083,0.135508304,0.231146169,0.221233768,0.223932844,0.205933726,0.23135772,0.215182441,0.200749464,0.258406051,0.231915801,0.217641683,0.248635059,0.265037627,0.24379642,0.271120587,1,1,1,1,1,0,1,-0.38125,-0.358778962,3/25/20,3/31/20,4
Australia,0.085459085,0.067975458,0.053141802,0.071911756,0.083636869,0.07924249,0.090478378,0.246695643,0.117241718,0.226625413,0.257962564,0.241636966,0.230630786,0.23296284,0.244195294,0.239581147,0.259562763,0.241193043,0.12904081,0.117853264,0.107391645,0.115097014,0.127020187,0.123303779,0.11712091,0.218315728,0.20637217,0.225585198,0.218882383,0.232899012,0.213207483,0.224961184,0.264476771,0.258953956,0.228038656,0.282884078,0.245011967,0.2336568,0.256569513,1,1,1,1,1,0,1,0.617283951,-0.180232558,7/1/20,7/7/20,5
Australia,0.074565974,0.07016577,0.072985024,0.081234578,0.096961863,0.083322331,0.091642466,0.240615693,0.119387992,0.227954368,0.257229205,0.232481891,0.239949411,0.222142416,0.261638499,0.222707398,0.217852792,0.224473644,0.122593087,0.115615536,0.122431766,0.119431558,0.140043538,0.129756189,0.116017856,0.230787963,0.205402041,0.212967341,0.228779208,0.220110989,0.237524849,0.21428373,0.273217058,0.263180408,0.219641791,0.25631194,0.248825799,0.251511199,0.269526336,1,1,1,1,1,1,1,0.388235294,-0.426861215,7/8/20,7/14/20,6
Australia,0.100584643,0.084024125,0.072717181,0.064131758,0.068518179,0.086380413,0.091262859,0.221835483,0.123527612,0.222273888,0.23770801,0.224176214,0.208878884,0.209993843,0.208237526,0.210429355,0.21408002,0.213813705,0.138036418,0.124822694,0.12402103,0.117675674,0.117381603,0.130175086,0.121777014,0.202812434,0.202385034,0.199108171,0.210676113,0.208598591,0.212299125,0.192651574,0.251032757,0.227975397,0.218908229,0.243647705,0.224198357,0.239026945,0.214750693,1,1,1,1,0,1,0,-0.172413793,-0.519230769,12/24/20,12/30/20,7
Australia,0.081768089,0.079845233,0.068489289,0.088394337,0.108267741,0.089950262,0.094596123,0.227659082,0.126190474,0.222378914,0.236156613,0.216498024,0.203183251,0.22929089,0.220616124,0.219897503,0.217003133,0.199322263,0.125803025,0.121196785,0.120265387,0.129436309,0.149157485,0.126472878,0.125268734,0.210812455,0.210088562,0.233842983,0.237022857,0.213235112,0.201888467,0.183841405,0.256701482,0.229879807,0.219369117,0.272200868,0.235412742,0.234322347,0.180467285,1,1,1,1,1,1,1,-0.25,-0.133333333,1/27/21,2/2/21,8
Australia,0.08461328,0.081782506,0.076715988,0.090699853,0.098046184,0.096908189,0.098646619,0.214435455,0.124671551,0.22986126,0.238622154,0.199858365,0.211380277,0.212354525,0.210921691,0.21186623,0.172217629,0.173090558,0.125480245,0.121725364,0.123994283,0.132661471,0.132535798,0.130568368,0.127967498,0.231860354,0.236476525,0.247343277,0.214821447,0.220432337,0.202140172,0.194569707,0.230456217,0.230065775,0.229592731,0.234422956,0.212604035,0.244072849,0.224885424,1,1,1,1,1,1,1,0.222222222,2.166666667,2/3/21,2/9/21,9
Australia,0.088094286,0.08096401,0.070650838,0.09325712,0.082745332,0.082219985,0.106934983,0.217117476,0.122197128,0.220573386,0.232829803,0.190323117,0.198195323,0.229249281,0.218046545,0.242734368,0.192918741,0.183321514,0.126593118,0.119822285,0.119235869,0.130340381,0.128337847,0.123128685,0.132959034,0.217850418,0.221983581,0.219031747,0.221746777,0.20596865,0.200154223,0.187702412,0.272206875,0.230590229,0.224427172,0.214235548,0.216018633,0.19259163,0.233020643,1,1,1,1,1,1,1,-0.25,0.472727273,2/10/21,2/16/21,10
