country,type,y,a,I,SN,A,PBC,O
Australia,1,-0.2434326,-1.2856,0,0.200249047,0.11380068,0.214091776,0.257404465
Australia,1,-1.282554,-1.2856,1,0.195407381,0.131047394,0.189280268,0.214660548
Australia,1,-1.282554,-1.2856,1,0.193213266,0.13433637,0.196743931,0.275388866
Australia,1,-1.282554,-1.2856,1,0.224338261,0.135259623,0.231146169,0.258406051
Australia,1,-1.282554,-1.2856,1,0.241636966,0.12904081,0.218315728,0.264476771
Australia,1,-1.282554,-1.2856,1,0.232481891,0.122593087,0.230787963,0.273217058
Australia,1,-1.282554,-1.2856,1,0.224176214,0.138036418,0.202812434,0.251032757
Australia,1,-1.282554,-1.2856,1,0.216498024,0.125803025,0.210812455,0.256701482
Australia,1,-1.282554,-1.2856,1,0.199858365,0.125480245,0.231860354,0.230456217
Australia,1,-1.282554,-1.2856,1,0.190323117,0.126593118,0.217850418,0.272206875
Australia,1,-1.282554,-1.2856,1,0.206935291,0.142408281,0.217500199,0.252043107
Australia,1,-1.282554,-1.2856,1,0.253055123,0.151166526,0.212040248,0.280863538
Australia,1,-1.282554,-1.2856,1,0.188563478,0.125837191,0.257599714,0.275269571
Australia,1,-1.282554,-1.2856,1,0.207254455,0.125099625,0.213956139,0.240337593
Australia,1,-1.282554,-1.2856,1,0.203187149,0.122551934,0.222494327,0.237544223
Australia,1,-1.282554,-1.2856,1,0.199994197,0.117645418,0.209231611,0.24102148
Australia,1,-1.282554,-1.2856,1,0.207680975,0.126584712,0.21598166,0.233339135
Australia,1,-1.282554,-1.2856,1,0.18601171,0.11590581,0.227567166,0.233659091
Australia,1,-1.282554,-1.2856,1,0.211332128,0.11686097,0.212747009,0.23304463
Australia,1,-1.282554,-1.2856,1,0.224829566,0.117638446,0.212469592,0.226532568
Australia,1,-1.282554,-1.2856,1,0.202294995,0.122933561,0.210065522,0.238413442
Australia,1,-1.282554,-1.2856,1,0.202588257,0.117912205,0.231045739,0.223758499
Australia,1,-1.282554,-1.2856,1,0.206067753,0.118481885,0.207898607,0.230963414
Canada,1,-1.8332294,-1.2856,0,0.23464474,0.091672062,0.22682121,0.266013433
Canada,1,-1.262886,-1.2856,1,0.236975,0.142019527,0.24951863,0.277105852
Canada,1,-1.262886,-1.2856,1,0.244235169,0.138603473,0.239012752,0.274803919
Canada,1,-1.262886,-1.2856,1,0.253922455,0.13723645,0.240314008,0.279410554
Canada,1,-1.262886,-1.2856,1,0.238299107,0.137322988,0.226876745,0.251587255
Canada,1,-1.262886,-1.2856,1,0.232212903,0.144015252,0.228914712,0.26217179
Canada,1,-1.262886,-1.2856,1,0.232161127,0.140113243,0.225086797,0.263404238
Canada,1,-1.262886,-1.2856,1,0.224296206,0.133005898,0.22921426,0.255934363
Canada,1,-1.262886,-1.2856,1,0.235749051,0.137490041,0.232943786,0.279809685
Canada,1,-1.262886,-1.2856,1,0.210961173,0.136654954,0.229816219,0.260985595
Canada,1,-1.262886,-1.2856,1,0.332701329,0.152130813,0.296851205,0.32119925
Canada,1,-1.262886,-1.2856,1,0.257224991,0.132041297,0.231581393,0.263209509
Canada,1,-1.262886,-1.2856,1,0.246546944,0.140029463,0.223019472,0.262622497
Canada,1,-1.262886,-1.2856,1,0.240425693,0.139666521,0.247500941,0.250366582
Canada,1,-1.262886,-1.2856,1,0.229135471,0.119868432,0.204867554,0.237300338
Canada,1,-1.262886,-1.2856,1,0.228475772,0.125503061,0.216231856,0.243422598
Canada,1,-1.262886,-1.2856,1,0.210298504,0.12498978,0.22241959,0.238557602
Canada,1,-1.262886,-1.2856,1,0.217784645,0.118790205,0.197737789,0.235896842
Canada,1,-1.262886,-1.2856,1,0.206026569,0.118197776,0.206463035,0.233709907
Canada,1,-1.8332294,-1.2856,0,0.215413761,0.120258183,0.191417037,0.234973977
Canada,1,-1.8332294,-1.2856,0,0.209735991,0.120321412,0.205679591,0.211598401
Canada,1,-1.8332294,-1.2856,0,0.201698545,0.122199343,0.214861504,0.217430054
United Kingdom,1,0.1012244,-1.2856,0,0.318416968,0.105461825,0.221914385,0.340856934
