country,s1,s2,s3,s4,s5,s8,s6,s7,s1_I,s2_I,s3_I,s4_I,s5_I,s6_I,s7_I,SN,A,PBC,O,y1,y2,startDate,endDate
Australia,0.071495413,0.059574216,0.061377346,0.059158232,0.084822121,0.047845056,0.062173871,0.096089191,1,1,1,1,1,1,1,0.018103188,0.111736111,0.019177196,0.019946949,0.097464157,0.138233307,23/3/2022,29/3/2022
Australia,0.072710917,0.062406519,0.04042104,0.063034247,0.085976909,0.047793507,0.071653778,0.074144614,1,1,1,1,1,1,1,0.016402981,0.113889563,0.019862021,0.017956822,-0.22410272,0.045970584,25/5/2022,31/5/2022
Australia,0.066056314,0.058888903,0.06803728,0.077545986,0.077501038,0.051288412,0.058319482,0.100523489,0,0,0,1,0,1,1,0.013343687,0.112831785,0.016510831,0.019113,0.230769231,-0.377777778,4/3/2020,10/3/2020
Australia,0.08817786,0.081599315,0.07889356,0.07842226,0.093936367,0.058771772,0.096054608,0.121971449,1,1,0,1,1,1,1,0.017278814,0.120990539,0.017733116,0.021724598,2.571428571,-0.375,11/3/2020,17/3/2020
Australia,0.096168583,0.085126345,0.079301274,0.06900847,0.103288308,0.070186893,0.088323724,0.120742583,1,1,0,1,1,1,1,0.018012609,0.124083104,0.017307207,0.023762674,2.120689655,1.175137845,18/3/2020,24/3/2020
Australia,0.098097418,0.090160049,0.085603995,0.080269795,0.103891923,0.076531945,0.097624871,0.116210954,1,1,0,1,1,1,1,0.016781385,0.127645152,0.017167873,0.02410689,-0.38125,-0.358778962,25/3/2020,31/3/2020
Australia,0.087745134,0.06875749,0.052140514,0.074404775,0.082902395,0.059327757,0.077458495,0.093084365,1,1,0,1,1,1,1,0.014179171,0.117361406,0.017366501,0.025072058,0.617283951,-0.180232558,1/7/2020,7/7/2020
Australia,0.073214961,0.070259622,0.073548891,0.079420875,0.097575281,0.064829981,0.081476851,0.090995031,1,1,1,1,1,1,1,0.014989993,0.119319641,0.017691054,0.024702081,0.388235294,-0.426861215,8/7/2020,14/7/2020
Australia,0.083184336,0.080704925,0.068837611,0.084965472,0.108122827,0.065413491,0.089824193,0.096640765,1,1,1,1,1,1,1,0.013839102,0.126751284,0.022015405,0.026891559,-0.25,-0.133333333,27/1/2021,2/2/2021
Australia,0.086598998,0.080511417,0.077013037,0.088812981,0.098490257,0.07005194,0.094546292,0.098201742,1,1,1,1,1,1,1,0.0144673,0.123898709,0.021158527,0.027654796,0.222222222,2.166666667,3/2/2021,9/2/2021
Australia,0.09038745,0.081403506,0.071642615,0.093263169,0.086290962,0.06721615,0.081497588,0.105710886,1,1,1,1,1,1,1,0.014800962,0.122543388,0.021096442,0.024148293,-0.25,0.472727273,10/2/2021,16/2/2021
Australia,0.104345889,0.08303593,0.071812745,0.087575215,0.093889696,0.07801578,0.091269294,0.093918847,1,1,1,1,1,1,1,0.015266013,0.12660629,0.01977024,0.023267527,1,0.119047619,17/2/2021,23/2/2021
Australia,0.115760415,0.077540886,0.073499434,0.095552482,0.093537404,0.068139404,0.089797644,0.096391237,1,1,1,1,1,1,1,0.015639842,0.123561377,0.020860653,0.022845349,0.25,-2.75,24/2/2021,2/3/2021
Australia,0.085299111,0.068741434,0.06053844,0.069155809,0.080606195,0.064819908,0.078873648,0.098719312,1,1,1,1,1,1,1,0.014924459,0.11680285,0.019818246,0.023040676,-0.268292683,0.134920635,30/6/2021,6/7/2021
Australia,0.076364723,0.06183665,0.058284082,0.073877747,0.072228603,0.048375317,0.069492946,0.088193905,1,1,1,1,1,1,1,0.013256222,0.11062906,0.018765395,0.021304502,1.523809524,-0.360784314,7/7/2021,13/7/2021
Australia,0.077197802,0.075094823,0.042679618,0.073086917,0.080350907,0.053213096,0.086863455,0.099526328,1,1,1,1,1,1,1,0.014098849,0.116849387,0.01775522,0.024575411,0.738095238,0.611393324,14/7/2021,20/7/2021
Australia,0.063918674,0.069314079,0.055273902,0.073101132,0.078454506,0.053332897,0.06940198,0.089039598,1,1,1,1,1,1,1,0.014492361,0.116500573,0.020311166,0.02579751,0.29375,0.029109589,21/7/2021,27/7/2021
Australia,0.08321081,0.073703604,0.063478353,0.080904655,0.099897151,0.059815066,0.072174905,0.092679769,1,1,1,1,1,1,1,0.014298151,0.117943841,0.020513721,0.025350094,0,-0.092757937,28/7/2021,3/8/2021
Australia,0.065501366,0.071894888,0.053528436,0.06615157,0.086928962,0.05077334,0.069582477,0.071875958,1,1,1,1,1,1,1,0.014911346,0.112767645,0.019527293,0.020515259,0.215231788,-0.227886416,4/8/2021,10/8/2021
