country,s1,s2,s3,s4,s5,s8,s6,s7,s1_I,s2_I,s3_I,s4_I,s5_I,s6_I,s7_I,SN,A,PBC,O,y1,y2,startDate,endDate
Australia,0.069802839,0.060361416,0.062554447,0.058426081,0.086751026,0.047646723,0.06368224,0.098670798,1,1,1,1,1,1,1,0.018128554,0.111719056,0.019078089,0.019931204,0.097464157,0.138233307,23/3/2022,29/3/2022
Australia,0.071316334,0.061935456,0.039896303,0.063096619,0.087686029,0.047921236,0.071448643,0.074623847,1,1,1,1,1,1,1,0.016424255,0.113911983,0.019897566,0.01797077,-0.22410272,0.045970584,25/5/2022,31/5/2022
Australia,0.066017063,0.058148923,0.067553303,0.077668473,0.075866311,0.050987419,0.058027,0.103525684,0,0,0,1,0,1,1,0.013378897,0.112635032,0.016422683,0.019009814,0.230769231,-0.377777778,4/3/2020,10/3/2020
Australia,0.090391981,0.08300365,0.080917249,0.07811425,0.097056883,0.058800218,0.096808557,0.118261226,1,1,0,1,1,1,1,0.01738921,0.121773692,0.017878379,0.02218332,2.571428571,-0.375,11/3/2020,17/3/2020
Australia,0.094876745,0.084954627,0.077786946,0.069440717,0.104052507,0.069818308,0.087440207,0.121938458,1,1,0,1,1,1,1,0.017899962,0.123696224,0.017161703,0.023633126,2.120689655,1.175137845,18/3/2020,24/3/2020
Australia,0.097864459,0.090301772,0.085971173,0.079819406,0.105258598,0.076626147,0.097977325,0.116527368,1,1,0,1,1,1,1,0.016855309,0.127767989,0.017146136,0.024239562,-0.38125,-0.358778962,25/3/2020,31/3/2020
Australia,0.085459085,0.067975458,0.053141802,0.071911756,0.083636869,0.059227539,0.07924249,0.090478378,1,1,0,1,1,1,1,0.014181225,0.117241718,0.017386461,0.025064019,0.617283951,-0.180232558,1/7/2020,7/7/2020
Australia,0.074565974,0.07016577,0.072985024,0.081234578,0.096961863,0.065233655,0.083322331,0.091642466,1,1,1,1,1,1,1,0.014949281,0.119387992,0.017729803,0.02475518,0.388235294,-0.426861215,8/7/2020,14/7/2020
Australia,0.081768089,0.079845233,0.068489289,0.088394337,0.108267741,0.065219347,0.089950262,0.094596123,1,1,1,1,1,1,1,0.01367662,0.126190474,0.021644293,0.027488063,-0.25,-0.133333333,27/1/2021,2/2/2021
Australia,0.08461328,0.081782506,0.076715988,0.090699853,0.098046184,0.071575142,0.096908189,0.098646619,1,1,1,1,1,1,1,0.014598473,0.124671551,0.021088525,0.028296659,0.222222222,2.166666667,3/2/2021,9/2/2021
Australia,0.088094286,0.08096401,0.070650838,0.09325712,0.082745332,0.066420548,0.082219985,0.106934983,1,1,1,1,1,1,1,0.01471196,0.122197128,0.020864599,0.02407164,-0.25,0.472727273,10/2/2021,16/2/2021
Australia,0.104789196,0.084778178,0.072870913,0.087852094,0.09377384,0.077344727,0.090313921,0.088370133,1,1,1,1,1,1,1,0.01511128,0.126823189,0.020025889,0.023155418,1,0.119047619,17/2/2021,23/2/2021
Australia,0.118096861,0.076846823,0.074519854,0.09717141,0.094335854,0.068925824,0.088984448,0.095841058,1,1,1,1,1,1,1,0.015527398,0.123710845,0.020885861,0.022958036,0.25,-2.75,24/2/2021,2/3/2021
Australia,0.08485659,0.069456218,0.060963303,0.070503616,0.081564256,0.065434746,0.078519793,0.097867903,1,1,1,1,1,1,1,0.015226128,0.117015571,0.019987274,0.023137293,-0.268292683,0.134920635,30/6/2021,6/7/2021
Australia,0.077742138,0.061673962,0.058386527,0.074325693,0.07234059,0.048390591,0.069966587,0.088388752,1,1,1,1,1,1,1,0.013265111,0.110621946,0.018731531,0.021342037,1.523809524,-0.360784314,7/7/2021,13/7/2021
Australia,0.07644116,0.075701428,0.040956082,0.072883168,0.081193704,0.05310173,0.087532306,0.097492236,1,1,1,1,1,1,1,0.014087473,0.116978062,0.017695183,0.024622413,0.738095238,0.611393324,14/7/2021,20/7/2021
Australia,0.062669792,0.068292257,0.054235665,0.07279321,0.078617509,0.052329525,0.069470648,0.089199741,1,1,1,1,1,1,1,0.014487202,0.116329154,0.020350328,0.025938014,0.29375,0.029109589,21/7/2021,27/7/2021
Australia,0.083347204,0.073591449,0.063701147,0.080727614,0.101543238,0.059652122,0.071382671,0.093589587,1,1,1,1,1,1,1,0.014324262,0.117780354,0.020480263,0.025402516,0,-0.092757937,28/7/2021,3/8/2021
Australia,0.065200048,0.071327006,0.053264201,0.066032961,0.086412125,0.050542715,0.069672812,0.071927474,1,1,1,1,1,1,1,0.014854348,0.112593456,0.019447759,0.020511992,0.215231788,-0.227886416,4/8/2021,10/8/2021
Australia,0.059890099,0.067019791,0.054052602,0.065624815,0.079715463,0.046346211,0.055487966,0.073285438,1,1,1,1,1,1,1,0.01428598,0.112552636,0.019290771,0.021025351,0.819892473,0.390940337,11/8/2021,17/8/2021
Australia,0.063799333,0.065158446,0.062503535,0.059676356,0.078205394,0.047332961,0.066089048,0.078664029,1,1,1,1,1,1,1,0.014715315,0.112713504,0.021063793,0.021412219,0.299866131,0.060871244,18/8/2021,24/8/2021
Australia,0.081713786,0.066206081,0.057172875,0.072509465,0.08897205,0.051227546,0.063400744,0.074003358,1,1,1,1,1,1,1,0.01468842,0.114755981,0.021105772,0.020051273,0.098654709,-0.173758159,25/8/2021,31/8/2021
Canada,0.049114868,0.072466571,0.061151825,0.096976017,0.069324467,0.061625529,0.095907763,0.106689172,0,1,0,1,0,1,1,0.011782771,0.113669737,0.013896174,0.018393901,1.625,-0.458333333,4/3/2020,10/3/2020
Canada,0.108303551,0.07751085,0.071590397,0.061482795,0.100352946,0.061031764,0.087856245,0.120354716,1,1,0,1,1,1,1,0.017261507,0.11768422,0.017252097,0.024868271,1.444444444,-1.98013245,11/3/2020,17/3/2020
Canada,0.103419288,0.093669145,0.074329425,0.06652881,0.112405695,0.068203804,0.095604686,0.131834797,1,1,0,1,1,1,1,0.017569847,0.120827395,0.015655869,0.023998282,1.87654321,-0.495878734,18/3/2020,24/3/2020
Canada,0.104604124,0.103098577,0.088643344,0.060534557,0.112448515,0.073526847,0.098067014,0.120990819,1,1,0,1,1,1,1,0.017969974,0.127168489,0.015339397,0.025493822,1.151832461,0.181069199,25/3/2020,31/3/2020
Canada,0.097630516,0.099100525,0.087095354,0.073735909,0.111521991,0.072701724,0.107008149,0.112257169,1,1,1,1,1,1,1,0.017531817,0.126235635,0.01620046,0.022671246,0.057926829,-0.139354515,1/4/2020,7/4/2020
Canada,0.100571639,0.089759511,0.077011978,0.082393345,0.097822201,0.064228741,0.07673474,0.086441862,1,1,1,1,1,1,1,0.018420677,0.123500249,0.018390531,0.023737931,-0.016802764,-0.296779403,2/12/2020,8/12/2020
Canada,0.101051674,0.092567979,0.069394474,0.092657894,0.082732076,0.068825316,0.09276633,0.096655795,1,1,1,1,1,1,1,0.017854179,0.125562989,0.018818914,0.023031918,-0.00204274,-0.273209384,9/12/2020,15/12/2020
Canada,0.088969698,0.093480829,0.070150317,0.079999311,0.075703077,0.06222408,0.089371519,0.086338359,1,1,1,1,1,1,1,0.017042912,0.122969257,0.018622089,0.022494325,-0.04312115,-0.21826167,16/12/2020,22/12/2020
Canada,0.092987229,0.094230974,0.071309678,0.074579021,0.077996046,0.066116757,0.080206235,0.093902705,1,1,1,1,1,1,1,0.019815328,0.124269184,0.017629411,0.022828918,0.406039767,0.474708768,23/12/2020,29/12/2020
