country,s1,s2,s3,s4,s5,s8,s6,s7,SN,A,PBC,O,s1_SN,s2_SN,s3_SN,s4_SN,s5_SN,s8_SN,s6_SN,s7_SN,s1_A,s2_A,s3_A,s4_A,s5_A,s8_A,s6_A,s7_A,s1_PBC,s2_PBC,s3_PBC,s4_PBC,s5_PBC,s8_PBC,s6_PBC,s7_PBC,s1_O,s2_O,s3_O,s4_O,s5_O,s8_O,s6_O,s7_O,s2_I,s1_I,s4_I,s5_I,s6_I,s3_I,s7_I,y1,y2,startDate,endDate
Australia,0.074611933,0.068023061,0.054570824,0.049030377,0.097775275,0.04348837,0.066436811,0.11008908,0.018757859,0.11080536,0.017936097,0.018959118,0.021626522,0.022370602,0.02101532,0.021892392,0.025207985,0.014928619,0.015367685,0.023461017,0.125588197,0.112480365,0.110913175,0.098190763,0.141545568,0.105704254,0.114689846,0.138225726,0.03693881,0.020685602,0.019985916,0.014347464,0.022726773,0.013745553,0.020031571,0.023995033,0.031548213,0.017737478,0.041057891,0.019541905,0.026512285,0.009565078,0.021674657,0.055937533,1,1,1,0,1,1,1,-0.2,-0.318743313,23/3/2022,25/3/2022
Australia,0.071815231,0.054307058,0.068918081,0.068911951,0.07475184,0.049626947,0.0634817,0.085413764,0.017765097,0.112646279,0.020344109,0.02120541,0.025610162,0.019144056,0.019843261,0.029646354,0.025463584,0.013701407,0.017984461,0.019663575,0.115826886,0.105700913,0.127085226,0.114997543,0.134373343,0.109426663,0.120228204,0.113532672,0.032705819,0.020939896,0.024338953,0.015378257,0.029453004,0.016073148,0.029616944,0.029917059,0.044118668,0.018400717,0.059202517,0.018874096,0.023751722,0.008486402,0.021045846,0.03637941,1,1,1,0,1,1,1,0.37,0.201372437,26/3/2022,29/3/2022
Australia,0.06354431,0.050883233,0.043801908,0.058736645,0.100804316,0.043659444,0.069966963,0.089921724,0.015837782,0.110999083,0.018749781,0.018570889,0.01111678,0.017306843,0.012980909,0.019854383,0.036081351,0.012387013,0.017872515,0.029775448,0.11152574,0.108689875,0.11307275,0.107977111,0.135824505,0.106878599,0.123101296,0.123710175,0.040155234,0.021454556,0.013617869,0.015564585,0.031777147,0.014458609,0.029282166,0.017985231,0.028140684,0.018029199,0.037451025,0.018754591,0.021291323,0.009842491,0.021584936,0.053099213,0,0,1,0,1,1,1,-0.29,-0.180620716,25/5/2022,27/5/2022
Australia,0.07124593,0.068872061,0.039782334,0.072611049,0.082373474,0.049050406,0.067945587,0.063772602,0.017286953,0.115969441,0.021039456,0.017988407,0.019448663,0.02229858,0.018459452,0.025245292,0.02902709,0.013123867,0.018715387,0.007357546,0.121546595,0.124360614,0.107879854,0.120495371,0.127843576,0.113134648,0.116813291,0.102776838,0.030113903,0.026315823,0.023390008,0.02209373,0.021365162,0.016938666,0.016709948,0.025204022,0.018409271,0.018816601,0.03197982,0.011504989,0.020656805,0.011569903,0.026701605,0.038710736,0,0,1,0,1,1,1,0.34,0.227207214,28/5/2022,31/5/2022
Australia,0.062408793,0.047180558,0.050076549,0.079311455,0.077619003,0.048770829,0.053888182,0.103825593,0.013155015,0.109420354,0.015955642,0.018140213,0.018363127,0.010153226,0.017503273,0.036414992,0.025433303,0.008571243,0.009169377,0.028257195,0.121185569,0.107240904,0.117681305,0.122806849,0.114806793,0.105210409,0.100186419,0.127809946,0.025450802,0.015828016,0.020209995,0.019337227,0.020096639,0.013156094,0.026386888,0.011104248,0.033982374,0.015919009,0.041554523,0.029803421,0.015778118,0.011940224,0.014440948,0.025093365,0,0,1,0,1,0,0,-0.62,0.222222223,4/3/2020,6/3/2020
Australia,0.069919434,0.065490382,0.076419808,0.078090161,0.075150538,0.051767296,0.05903368,0.102892488,0.013523261,0.114906587,0.016827134,0.019588959,0.01314963,0.014014006,0.01878719,0.033548715,0.016409457,0.008037154,0.017594449,0.02317408,0.110730003,0.118438369,0.123088553,0.11645766,0.128798663,0.109626618,0.107699082,0.133574532,0.030202693,0.012273875,0.019444217,0.013363614,0.029721214,0.015112086,0.025217601,0.018601733,0.028831728,0.015542665,0.059283971,0.020542611,0.024880773,0.008426818,0.024053342,0.038732411,0,0,1,0,1,0,0,1,0.466666667,7/3/2020,10/3/2020
Australia,0.083343755,0.073381647,0.085373348,0.07299743,0.073162288,0.050632414,0.099271968,0.13014057,0.017519489,0.119092402,0.016306956,0.021910294,0.027671093,0.017154838,0.022704739,0.041899944,0.018265028,0.010555143,0.026160099,0.0330879,0.128961783,0.123293407,0.130927543,0.119860083,0.12279741,0.108722977,0.138841366,0.150740472,0.0353939,0.01840293,0.018024024,0.013948763,0.022994028,0.011859853,0.02660638,0.020183191,0.043778107,0.021614183,0.066234287,0.018196425,0.02152559,0.008232617,0.033004954,0.036043956,0,0,1,1,1,0,0,2.43,-0.3125,11/3/2020,13/3/2020
Australia,0.093418478,0.088810326,0.077798505,0.082040175,0.110068627,0.064565355,0.095183555,0.111458706,0.01722145,0.123376191,0.018905173,0.022463896,0.020304052,0.016376983,0.020010692,0.034352086,0.030762308,0.010468888,0.027360017,0.027780343,0.131391384,0.131457784,0.120391415,0.12128264,0.148578887,0.115276797,0.131611288,0.132104258,0.034888419,0.019602342,0.019981288,0.018700237,0.029497205,0.015089634,0.022961634,0.019034867,0.035256705,0.022989741,0.053012224,0.021935186,0.028399759,0.010694172,0.028039045,0.035678175,1,1,1,1,1,0,0,0.53,0.243055556,14/3/2020,17/3/2020
Australia,0.103894175,0.082912253,0.087085316,0.075732158,0.106054489,0.072995113,0.094720168,0.136018841,0.0190129,0.125905966,0.018282429,0.02456508,0.023743594,0.018027115,0.022758138,0.03116763,0.026084974,0.011991547,0.027130722,0.039175135,0.139801907,0.126019485,0.131114434,0.111899206,0.139685251,0.119435882,0.125704729,0.159132114,0.033487127,0.01628146,0.021609946,0.020488395,0.029781046,0.013105841,0.024663057,0.02490653,0.045080029,0.027290855,0.055673497,0.023311808,0.026477628,0.011287433,0.027658101,0.04268567,1,1,1,1,1,0,0,-0.05,-0.57321534,18/3/2020,20/3/2020
Australia,0.090536988,0.085550688,0.072627234,0.064936326,0.102828415,0.067762759,0.081905305,0.111614541,0.017262,0.122323756,0.016519756,0.023157509,0.021867956,0.01931094,0.017758468,0.024417332,0.023057521,0.011909819,0.025142518,0.026682438,0.13195887,0.12917865,0.116795886,0.107814069,0.138114272,0.118186691,0.121163838,0.136930829,0.031203555,0.017289614,0.017142131,0.012285059,0.025185804,0.012734444,0.020601209,0.02202009,0.040452986,0.025929805,0.051783331,0.019440108,0.025293274,0.01163085,0.021775113,0.039432167,1,1,1,1,1,0,0,0.17,0.176349966,21/3/2020,24/3/2020
